cityOriginId,cityOriginName,allProperties,destinationType,propertyId,propertyClass,reviewScore,page,position,propertyOriginName,propertyURL,propertyLatitude,propertyLongitude,hotel_desc,propertyAddress,numberOfReviews
20023488,"Orlando, Florida, USA",1813,city,24715,2,7.3,2,23,Quality Suites Orlando Close to I-Drive,"http://www.booking.com/hotel/us/comfort-suites-orlando.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=39943cd567b11b83cd66376f31e5a312dd126da4X23;highlight_room=",-81.4754355,28.43058596,Quality Suites Orlando Close to I-Drive is located 4.6 km from Universal's Islands of Adventure and The Wizarding World of Harry Potter™ theme parks at Universal Orlando Resort.,"9350 Turkey Lake Road, Orlando, FL 32819, United States of America",1977
20023488,"Orlando, Florida, USA",1813,city,26358,3,8.6,1,14,SpringHill Suites by Marriott Orlando Lake Buena Vista in Marriott Village,"http://www.booking.com/hotel/us/spring-hill-marriott-village.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=09b37eedb7dfc640e640ee4b88d17332608e40f8X14;highlight_room=",-81.50196791,28.37710028,This all-suite hotel in Lake Buena Vista is just under 1 mile from Walt Disney World. The hotel offers a free hot breakfast buffet and free high-speed internet access.,"8601 Vineland Avenue, Lake Buena Vista, Orlando, FL 32821, United States of America",2802
20023488,"Orlando, Florida, USA",1813,city,28903,2,9.3,14,202,Hampton Inn & Suites Orlando-John Young Parkway/South Park,"http://www.booking.com/hotel/us/hampton-inn-suites-orlando-john-young-pkwy-s-park.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=adf6053d8646c40f99820dcdc07c96b09541bffeX202;highlight_room=",-81.42799258,28.43874682,"In the South Park corporate office area of Orlando, this hotel provides convenient amenities and comfortable facilities just blocks from shopping and restaurants.","7500 Futures Drive, Orlando, FL 32819, United States of America",193
20023488,"Orlando, Florida, USA",1813,city,29690,4,7.9,4,58,DoubleTree by Hilton at the Entrance to Universal Orlando,"http://www.booking.com/hotel/us/doubletree-at-the-entrance-to-universal-orlando.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=eac4cd41dc62fd918285ee3d7d2cd06237525be8X58;highlight_room=",-81.45750493,28.47875185,"Featuring an unrivaled location, directly across from the entrance to Universal Orlando Resort, this hotel features first-class amenities, numerous free services and is close to all the area's main...","5780 Major Boulevard, Orlando, FL 32819, United States of America",1530
20023488,"Orlando, Florida, USA",1813,city,29896,3,9,3,35,Hilton Grand Vacations at SeaWorld,"http://www.booking.com/hotel/us/hilton-grand-vacations-club-orlando.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=5ce9dd148d96667525e4e841ca4cbdc41b0e6f08X35;highlight_room=",-81.46955341,28.40630016,"Directly across from SeaWorld and featuring 33 acres of peaceful surroundings, this hotel offers spacious accommodations and modern amenities, and is only moments from Orlando's major attractions.","6924 Grand Vacations Way, Orlando, FL 32821, United States of America",1072
20023488,"Orlando, Florida, USA",1813,city,29970,3,9,8,116,Hilton Grand Vacations at Tuscany Village,"http://www.booking.com/hotel/us/hilton-grand-vacations-club-orlando1.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=67e808f3da94f0520113a44d7c2c6dee1d53f42cX116;highlight_room=",-81.48757383,28.38476027,"Located in Orlando, Hilton Grand Vacations at Tuscany Village offers 2 outdoor pools, suites with a private balcony, and WiFi access.","8122 Arrezzo Way, Orlando, FL 32821, United States of America",745
20023488,"Orlando, Florida, USA",1813,city,48209,3,8.2,4,50,Quality Inn & Suites Orlando,"http://www.booking.com/hotel/us/quality-inn-suites-at-universal-studios.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=eac4cd41dc62fd918285ee3d7d2cd06237525be8X50;highlight_room=",-81.45666003,28.48614753,This hotel is within a 5 minute drive of Universal Studios Theme Park and 8.5 miles from downtown Orlando. It offers a shuttle service to the area theme parks.,"5635 Windhover Drive, Orlando, FL 32819, United States of America",1114
20023488,"Orlando, Florida, USA",1813,city,55871,3,8.7,10,139,The Florida Hotel & Conference Center - BW Premier Collection,"http://www.booking.com/hotel/us/the-florida-hotel-and-conference-center.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=7effefe1fba3998f04f4d47e4342235e8168159bX139;highlight_room=",-81.39559686,28.44484111,"This Orlando hotel is connected to the Florida Mall, which houses over 270 stores, and is only 17 km from Walt Disney World and Disney Springs.","1500 Sand Lake Road, Orlando, FL 32809, United States of America",571
20023488,"Orlando, Florida, USA",1813,city,55880,2,5.5,5,71,Orlando Metropolitan Resort,"http://www.booking.com/hotel/us/orlando-metropolitan-resort.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=1f5f9d5b71eb3ec4be5887f9ffaf4c803dc28436X71;highlight_room=",-81.47229329,28.44204872,"This Orlando motel is 1.2 miles from the Orange County Convention Center across from the I-Drive 360 plaza, which includes the Orlando Eye Ferris wheel.","8444 Austrian Court, Orlando, FL 32819, United States of America",3235
20023488,"Orlando, Florida, USA",1813,city,55891,3,8.2,2,21,Best Western Orlando Gateway Hotel,"http://www.booking.com/hotel/us/orlando-gateway.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=39943cd567b11b83cd66376f31e5a312dd126da4X21;highlight_room=",-81.46392345,28.45800253,"In Orlando, Florida, this hotel provides free shuttle transportation to SeaWorld, Universal Studios Orlando and more. It features on-site dining and rooms include a flat-screen TV.","7299 Universal Boulevard, Orlando, FL 32819, United States of America",2825
