cityOriginId,cityOriginName,allProperties,destinationType,propertyId,propertyClass,reviewScore,page,position,propertyOriginName,propertyURL,propertyLatitude,propertyLongitude,hotel_desc,propertyAddress,numberOfReviews
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,470861,3,4.2,5,193,SpringHill Suites Orlando Lake Buena Vista Marriott Village,https://www.expedia.com/Orlando-Hotels-SpringHill-Suites-Orlando-Lake-Buena-Vista-Marriott-Village.h470861.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830777134&c=5eb48d13-90e5-43dd-b832-e039b76ffc04&,28.377663,-81.500811,"Located in the Marriott Village hotel complex, this 5-story Walt Disney World Good Neighbor Hotel® is 1 mile from the Orlando Premium Outlets and within 5 miles of the <b>Downtown Disney</b> Area and Seaworld Orlando.","8601 Vineland Avenue, Orlando, FL, 32821",683
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,470869,3,3.1,6,242,Monumental Movieland Hotel Orlando,https://www.expedia.com/Orlando-Hotels-Monumental-Movieland-Hotel-Orlando.h470869.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830942838&c=44495c26-2779-4e68-8b74-3a668e6c8ca9&,28.461766,-81.466118,"This family-friendly Orlando hotel is located in Sand Lake, within 1 mi (2 km) of iFLY Orlando and Wet 'n Wild. <b>Universal’s Islands of Adventure</b>™ and I-Drive 360 are also within 2 mi (3 km).","6233 International Drive, Orlando, FL, 32819",879
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,470892,3,4,3,124,Fairfield Inn & Suites Lake Buena Vista in Marriott Village,https://www.expedia.com/Orlando-Hotels-Fairfield-Inn-Suites-Lake-Buena-Vista-In-Marriott-Village.h470892.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830436393&c=1111bb30-817f-4ee2-8de8-a701624c650d&,28.377663,-81.500807,"Situated in Orlando, this hotel is 0.8 mi (1.2 km) from Orlando Premium Outlets Vineland Ave and 2.1 mi (3.4 km) from <b>Downtown Disney</b>® area. Lake Bryan and Mary Queen of the Universe Shrine are also within 1 mi (2 km).","8615 Vineland Avenue, Orlando, FL, 32821",538
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,473095,3,4.2,1,28,"Hawthorn Suites by Wyndham Lake Buena Vista, a staySky Hotel",https://www.expedia.com/Orlando-Hotels-Hawthorn-Suites-By-Wyndham-Lake-Buena-Vista.h473095.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830145800&c=c6455d20-0354-47e9-bebd-51d55ceef93b&,28.389266,-81.497428,"This family-oriented condominium resort is located on Palm Parkway in the heart of Orlando, a half-mile from <B>Walt Disney World</B> Resort, 2 miles from SeaWorld, and 8.5 miles from Universal Orlando.","8303 Palm Pkwy, Orlando, FL, 32836",1039
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,484509,2.5,4.1,3,110,Best Western Orlando Convention Center Hotel,https://www.expedia.com/International-Drive-Hotels-Best-Western-Orlando-Convention-Center-Hotel.h484509.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830436393&c=1111bb30-817f-4ee2-8de8-a701624c650d&,28.418819,-81.463868,"This Orlando hotel is across the street from SeaWorld and Aquatica, I-Drive, and the convention center; Universal Studios is 4 miles away.","6301 Westwood Blvd, Orlando, FL, 32821",829
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,485506,4,4.4,5,197,Universal's Hard Rock Hotel ®,https://www.expedia.com/Orlando-Hotels-Universals-Hard-Rock-Hotel.h485506.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830777134&c=5eb48d13-90e5-43dd-b832-e039b76ffc04&,28.478991,-81.464051,On-site at Universal Orlando Resort™,"5800 Universal Blvd, Orlando, FL, 32819",564
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,537757,3,4.3,5,190,Hyatt Place Orlando/Universal,https://www.expedia.com/Orlando-Hotels-Hyatt-Place-OrlandoUniversal.h537757.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830777134&c=5eb48d13-90e5-43dd-b832-e039b76ffc04&,28.475984,-81.456671,"Universal Studios® Florida is a 15-minute walk from Hyatt Place Orlando/Universal. Guests can drive 9 minutes to the  Wizarding World of Harry Potter™, and just a little farther to <b>Walt Disney World</b> Resort and SeaWorld® Orlando. Reptile-infested Gatorland® is 22 minutes away by car.","5895 Caravan Ct, Orlando, FL, 32819",834
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,537781,2.5,3.9,2,75,staySky Suites - I Drive Orlando,https://www.expedia.com/Orlando-Hotels-StaySky-Suites-I-Drive-Orlando.h537781.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830315674&c=0e672583-0ab8-4560-b811-f88da5442c7d&,28.45181,-81.468199,"This Orlando all-suite hotel is located 1 block off International Drive, just a half-mile from both Ripley's Believe It or Not and Wet N' Wild. Universal Orlando Resort is 1.5 miles from the hotel.","7601 Canada Ave, Orlando, FL, 32819",983
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,539487,3.5,4.4,2,67,"Sheraton Vistana Villages Resort Villas, I-Drive/Orlando",https://www.expedia.com/Orlando-Hotels-Sheraton-Vistana-Villages-Resort-Villas.h539487.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830315674&c=0e672583-0ab8-4560-b811-f88da5442c7d&,28.387298,-81.477628,"Sheraton Vistana Villages Resort Villas, I-Drive/Orlando is located within 20 miles (32 km) of SeaWorld® Orlando, Universal Studios, and <b> Walt Disney World</b> Resort. Shoppers can stock up at Orlando Premium Outlets, a 3-minute drive from the resort.","12401 International Dr, Orlando, FL, 32821",1229
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,565187,2.5,3.9,1,13,"Country Inn & Suites By Carlson Orlando, Florida",https://www.expedia.com/Orlando-Hotels-Country-Inn-Suites-By-Carlson-Orlando.h565187.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830145800&c=c6455d20-0354-47e9-bebd-51d55ceef93b&,28.452905,-81.46475,"This Country Inn & Suites is less than 2 miles from Universal and the Orange County Convention Center, 1 block from Wet 'n Wild, 8 miles from <b>Walt Disney World</b> Resort, and 4 miles from SeaWorld.","7701 Universal Blvd, Orlando, FL, 32819",986
